Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
40,Saddiq Bey,SF,23,DET,33,936,13.5,.545,.481,.366,3.5,12.9,8.1,8.3,1.4,0.6,7.6,20.8,,0.9,0.3,1.2,.061,,0.1,-1.1,-1.1,0.2,beysa01
41,Khem Birch,C,30,TOR,19,150,10.9,.617,.065,.161,5.7,13.1,9.1,6.5,1.6,3.4,15.3,11.1,,0.1,0.1,0.3,.088,,-3.4,1.0,-2.4,0.0,birchkh01
42,Goga Bitadze,C,23,IND,17,169,14.6,.597,.273,.409,11.1,13.4,12.2,13.5,1.7,4.7,16.1,15.3,,0.2,0.2,0.4,.117,,-2.3,1.5,-0.8,0.1,bitadgo01
43,Bismack Biyombo,C,30,PHO,30,412,12.2,.547,.000,.458,8.7,21.9,15.1,8.2,1.2,8.7,22.5,13.3,,-0.1,0.7,0.6,.066,,-4.6,2.6,-2.0,0.0,biyombi01
44,Buddy Boeheim,PG,23,DET,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.022,,-7.8,-2.1,-10.0,0.0,boehebu01
45,Bogdan Bogdanović,SG,30,ATL,12,359,14.9,.581,.596,.117,0.9,12.9,6.7,11.1,1.2,0.7,9.6,23.3,,0.3,0.3,0.6,.075,,1.4,-1.1,0.3,0.2,bogdabo01
46,Bojan Bogdanović,PF,33,DET,36,1124,17.4,.628,.420,.381,1.8,11.1,6.3,13.1,0.9,0.2,12.6,25.5,,2.0,0.1,2.2,.093,,2.6,-1.9,0.7,0.8,bogdabo02
47,Bol Bol,PF,23,ORL,36,936,17.3,.656,.217,.227,6.0,24.4,15.4,5.8,0.9,5.8,17.5,18.5,,0.8,1.2,2.0,.103,,0.2,0.5,0.7,0.6,bolbo01
48,Leandro Bolmaro,SG,22,UTA,10,58,-4.1,.188,.188,.000,5.6,1.9,3.8,12.6,2.5,1.4,30.4,16.6,,-0.3,0.0,-0.3,-0.223,,-11.5,-2.1,-13.6,-0.2,bolmale01
49,Devin Booker,SG,26,PHO,29,1002,22.3,.585,.305,.304,2.5,12.8,7.5,26.7,1.3,1.0,9.4,31.5,,2.6,0.8,3.4,.163,,4.8,-0.7,4.0,1.5,bookede01
50,Brandon Boston Jr.,SG,21,LAC,13,124,11.9,.497,.295,.311,2.7,8.6,5.8,11.5,1.2,0.0,6.7,26.1,,0.0,0.1,0.1,.044,,-1.6,-0.4,-2.0,0.0,bostobr01
51,Chris Boucher,PF,30,TOR,29,644,16.8,.554,.354,.406,10.5,21.7,15.7,3.4,1.6,3.3,6.6,19.1,,1.1,0.7,1.8,.134,,-0.2,-1.2,-1.4,0.1,bouchch01
52,James Bouknight,SG,22,CHO,23,340,6.2,.431,.521,.185,1.5,14.2,7.5,10.8,1.7,1.1,12.3,17.9,,-0.5,0.3,-0.3,-0.036,,-5.7,-0.5,-6.3,-0.4,bouknja01
53,Tony Bradley,C,25,CHI,9,25,20.9,.761,.571,.286,4.5,40.7,22.5,5.6,1.9,0.0,11.3,15.5,,0.1,0.0,0.1,.208,,4.4,-0.2,4.1,0.0,bradlto01
54,Malaki Branham,SF,19,SAS,20,363,8.9,.550,.525,.127,1.5,8.4,4.8,12.0,1.0,0.7,13.8,16.6,,0.0,0.0,0.0,.004,,-2.7,-2.1,-4.8,-0.3,branhma01
55,Christian Braun,SG,21,DEN,31,461,7.8,.526,.350,.210,4.8,11.5,8.2,4.9,1.1,1.4,9.9,11.4,,0.1,0.3,0.4,.041,,-3.3,-0.9,-4.2,-0.2,braunch01
56,Mikal Bridges,SF,26,PHO,36,1301,14.2,.569,.366,.186,3.1,11.3,7.1,11.7,1.5,2.2,8.4,17.6,,1.8,1.2,2.9,.108,,0.4,0.2,0.6,0.9,bridgmi01
57,Oshae Brissett,SF,24,IND,30,481,12.1,.586,.578,.547,5.0,16.4,10.8,4.0,2.0,0.9,10.2,15.4,,0.4,0.5,0.9,.090,,-1.4,0.0,-1.4,0.1,brissos01
58,Malcolm Brogdon,PG,30,BOS,30,705,18.2,.612,.412,.275,3.6,15.2,9.5,24.1,1.1,1.0,14.2,23.5,,1.4,0.7,2.1,.144,,2.5,-0.1,2.4,0.8,brogdma01
59,Dillon Brooks,SG,27,MEM,30,918,11.6,.509,.408,.174,2.4,9.7,6.1,13.3,1.3,0.4,9.7,25.3,,0.0,0.9,1.0,.050,,-2.1,-0.8,-2.9,-0.2,brookdi01
60,Bruce Brown,PG,26,DEN,33,973,13.2,.580,.355,.134,3.5,12.7,8.1,18.2,1.5,2.0,14.7,16.0,,1.0,0.8,1.8,.089,,-0.6,0.2,-0.4,0.4,brownbr01
61,Greg Brown III,PF,21,POR,10,67,6.0,.422,.263,.421,3.5,15.1,9.4,0.0,2.9,6.6,18.2,18.0,,-0.2,0.1,-0.1,-0.065,,-8.0,1.1,-6.9,-0.1,browngr01
62,Jaylen Brown,SF,26,BOS,33,1184,20.2,.592,.369,.263,3.6,18.4,11.1,16.3,1.6,1.1,12.2,31.5,,1.2,1.5,2.8,.112,,2.1,-0.4,1.7,1.1,brownja02
63,Kendall Brown,SG,19,IND,6,40,9.3,.571,.143,.286,5.5,10.8,8.2,10.0,4.7,0.0,20.2,10.3,,0.0,0.1,0.1,.087,,-6.9,4.0,-2.9,0.0,brownke03
64,Moses Brown,C,23,LAC,26,168,23.6,.606,.000,.839,20.8,28.0,24.5,2.9,0.6,5.2,8.4,21.7,,0.4,0.3,0.8,.218,,0.5,0.0,0.4,0.1,brownmo01
65,Troy Brown Jr.,SF,23,LAL,32,710,8.8,.557,.517,.106,3.9,14.2,9.2,4.2,1.5,0.4,12.5,12.8,,0.1,0.6,0.6,.043,,-2.7,-0.1,-2.8,-0.1,browntr01
66,Jalen Brunson,PG,26,NYK,34,1104,19.4,.565,.264,.302,1.3,9.2,5.3,32.0,1.6,0.4,10.2,25.8,,2.6,0.9,3.5,.154,,2.9,-0.4,2.5,1.2,brunsja01
67,Thomas Bryant,C,25,LAL,21,408,21.4,.726,.195,.421,8.2,22.5,15.5,7.4,0.8,2.1,9.7,18.1,,1.3,0.4,1.7,.201,,2.3,-0.2,2.0,0.4,bryanth01
68,Reggie Bullock,SF,31,DAL,34,957,5.4,.494,.843,.122,1.6,12.5,7.0,5.0,1.3,0.5,8.1,9.4,,-0.1,0.8,0.7,.034,,-3.7,0.1,-3.7,-0.4,bullore01
69,Alec Burks,SG,31,DET,24,510,18.9,.627,.507,.475,1.3,13.8,7.3,15.0,2.0,0.5,9.6,24.3,,1.2,0.3,1.5,.138,,2.6,0.0,2.6,0.6,burksal01
70,Jimmy Butler,SF,33,MIA,22,766,26.1,.633,.152,.540,6.5,16.0,11.0,27.5,2.9,1.1,9.3,24.4,,2.9,1.2,4.1,.256,,5.5,2.4,8.0,1.9,butleji01
71,John Butler,C,20,POR,4,15,8.0,.333,.667,.000,7.7,7.5,7.6,8.7,0.0,5.9,0.0,8.7,,0.0,0.0,0.0,.032,,-2.3,-0.5,-2.8,0.0,butlejo01
72,Jamal Cain,SF,23,MIA,9,101,14.6,.567,.200,.267,7.7,16.6,12.0,7.6,2.4,0.0,5.6,15.6,,0.1,0.1,0.3,.134,,-2.6,1.5,-1.1,0.0,cainja01
73,Kentavious Caldwell-Pope,SG,29,DEN,33,1044,11.4,.606,.517,.163,1.8,9.5,5.7,8.9,1.9,1.1,11.2,14.4,,1.0,0.7,1.7,.078,,-1.2,-0.3,-1.6,0.1,caldwke01
74,Facundo Campazzo,PG,31,DAL,8,52,8.2,.360,.846,.154,0.0,4.6,2.3,23.4,5.8,0.0,17.8,14.7,,-0.1,0.1,0.0,.005,,-4.6,3.6,-1.0,0.0,campafa01
75,Vlatko Čančar,PF,25,DEN,23,276,11.6,.651,.566,.092,3.4,13.3,8.4,11.3,1.2,1.7,17.7,15.1,,0.3,0.2,0.5,.078,,-0.7,-0.6,-1.3,0.0,cancavl01
76,Clint Capela,C,28,ATL,27,743,21.8,.640,.000,.216,16.6,30.4,23.3,3.9,1.1,4.1,9.3,15.8,,1.9,1.2,3.1,.200,,1.8,0.0,1.9,0.7,capelca01
77,Vernon Carey Jr.,C,21,WAS,4,7,-13.2,.000,.000,.000,0.0,46.8,23.9,16.6,0.0,0.0,33.3,18.7,,-0.1,0.0,-0.1,-0.379,,-18.7,-2.5,-21.2,0.0,careyve01
78,Jevon Carter,PG,27,MIL,34,856,10.8,.535,.509,.091,2.8,9.0,5.9,16.4,2.4,1.7,15.8,14.0,,0.3,1.2,1.5,.086,,-2.5,2.0,-0.5,0.3,carteje01
79,Wendell Carter Jr.,C,23,ORL,18,555,17.7,.622,.316,.413,8.1,22.5,15.4,15.8,0.8,1.4,15.7,21.4,,1.0,0.5,1.4,.125,,1.2,-0.3,0.9,0.4,cartewe01
80,Alex Caruso,PG,28,CHI,30,749,11.0,.581,.554,.314,1.8,10.9,6.3,18.2,3.1,2.5,22.9,10.4,,0.4,1.0,1.4,.088,,-2.4,3.1,0.7,0.5,carusal01
81,Julian Champagnie,SF,21,PHI,2,7,-3.8,.000,.500,.000,0.0,0.0,0.0,0.0,7.1,0.0,0.0,12.8,,0.0,0.0,0.0,-0.212,,-12.3,-1.1,-13.4,0.0,champju02
82,Justin Champagnie,SF,21,TOR,3,11,29.6,1.000,.000,.000,9.7,33.4,20.8,16.0,0.0,0.0,0.0,11.6,,0.1,0.0,0.1,.333,,6.4,1.4,7.8,0.0,champju01
