
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
38,Bradley Beal,SG,27,WAS,60,2147,22.7,.593,.270,.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,,4.2,1.7,5.9,.132,,4.8,-1.4,3.4,2.9,bealbr01
39,Malik Beasley,SG,24,MIN,37,1214,14.6,.570,.535,.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24.0,,0.9,0.4,1.3,.053,,1.6,-1.8,-0.2,0.6,beaslma01
40,Jordan Bell,C,26,TOT,6,82,8.0,.328,.091,.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,,-0.1,0.1,0.0,-0.008,,-5.9,0.1,-5.8,-0.1,belljo01
40,Jordan Bell,C,26,WAS,5,67,8.5,.350,.100,.000,9.5,20.5,15.0,9.5,2.1,3.7,13.0,14.2,,-0.1,0.1,0.0,-0.004,,-5.4,-0.3,-5.7,-0.1,belljo01
40,Jordan Bell,C,26,GSW,1,15,5.6,.174,.000,1.000,7.2,28.0,17.7,15.5,0.0,11.8,25.8,11.1,,0.0,0.0,0.0,-0.026,,-8.3,1.7,-6.5,0.0,belljo01
41,DeAndre' Bembry,SF,26,TOR,51,972,11.2,.570,.232,.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,,0.1,1.1,1.2,.059,,-3.2,1.4,-1.9,0.0,bembrde01
42,Dāvis Bertāns,PF,28,WAS,57,1464,11.4,.620,.895,.241,1.3,10.8,6.1,4.4,1.0,0.7,5.9,15.9,,2.1,1.0,3.1,.101,,0.3,-1.1,-0.8,0.4,bertada01
43,Patrick Beverley,PG,32,LAC,37,832,12.0,.580,.641,.205,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,,1.0,1.0,2.1,.119,,-0.7,1.4,0.7,0.6,beverpa01
44,Saddiq Bey,SF,21,DET,70,1909,12.6,.567,.666,.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,,1.6,1.7,3.3,.082,,0.3,-0.8,-0.5,0.7,beysa01
45,Tyler Bey,SF,22,DAL,18,71,5.9,.372,.182,.227,12.5,16.9,14.7,5.6,0.0,1.3,11.0,16.9,,-0.1,0.0,0.0,-0.033,,-5.5,-3.9,-9.5,-0.1,beyty01
46,Khem Birch,C,28,TOT,67,1529,15.1,.552,.137,.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,,2.3,1.4,3.8,.118,,-1.0,0.1,-1.0,0.4,birchkh01
46,Khem Birch,C,28,ORL,48,952,14.1,.517,.100,.407,12.3,14.2,13.2,8.0,1.6,2.7,8.5,12.2,,1.3,0.8,2.1,.106,,-1.7,0.1,-1.6,0.1,birchkh01
46,Khem Birch,C,28,TOR,19,577,16.9,.596,.181,.257,10.5,17.2,13.7,9.4,1.3,3.8,9.9,15.8,,1.1,0.6,1.7,.138,,0.1,0.0,0.1,0.3,birchkh01
