Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
493,Dennis Schröder,SG-PG,28,TOT,64,29,1837,312,724,.431,86,250,.344,226,474,.477,.490,157,184,.853,34,180,214,296,53,8,143,154,867,schrode01
493,Dennis Schröder,SG,28,BOS,49,25,1433,257,584,.440,67,192,.349,190,392,.485,.497,123,145,.848,28,136,164,208,41,5,104,116,704,schrode01
493,Dennis Schröder,PG,28,HOU,15,4,404,55,140,.393,19,58,.328,36,82,.439,.461,34,39,.872,6,44,50,88,12,3,39,38,163,schrode01
494,Tre Scott,SF,25,CLE,2,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,1,1,2,0,1,1,0,2,6,scotttr01
495,Jay Scrubb,SG,21,LAC,18,0,121,18,46,.391,6,21,.286,12,25,.480,.457,7,10,.700,2,14,16,8,4,3,7,9,49,scrubja01
496,Wayne Selden,SG,27,NYK,3,0,19,1,4,.250,1,2,.500,0,2,.000,.375,2,4,.500,0,1,1,1,0,0,0,1,5,seldewa01
497,Alperen Şengün,C,19,HOU,72,13,1489,249,525,.474,29,117,.248,220,408,.539,.502,165,232,.711,138,255,393,185,59,68,145,214,692,sengual01
498,Collin Sexton,SG,23,CLE,11,11,316,68,151,.450,11,45,.244,57,106,.538,.487,29,39,.744,13,23,36,23,10,0,31,25,176,sextoco01
499,Landry Shamet,SG,24,PHO,69,14,1437,191,485,.394,123,334,.368,68,151,.450,.521,68,81,.840,16,110,126,108,28,9,41,92,573,shamela01
500,Day'Ron Sharpe,PF,20,BRK,32,8,391,86,149,.577,2,7,.286,84,142,.592,.584,24,41,.585,81,79,160,17,10,15,30,60,198,sharpda01
501,Pascal Siakam,PF,27,TOR,68,68,2578,596,1207,.494,75,218,.344,521,989,.527,.525,284,379,.749,128,452,580,360,85,42,181,225,1551,siakapa01
502,Chris Silva,PF,25,TOT,10,0,91,8,15,.533,0,0,,8,15,.533,.533,10,12,.833,13,23,36,7,0,1,8,20,26,silvach01
502,Chris Silva,PF,25,MIN,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,silvach01
502,Chris Silva,PF,25,MIA,9,0,88,8,15,.533,0,0,,8,15,.533,.533,10,12,.833,13,22,35,7,0,1,8,20,26,silvach01
503,Marko Simonovic,C,22,CHI,9,0,35,4,15,.267,1,5,.200,3,10,.300,.300,8,11,.727,5,5,10,0,1,1,2,6,17,simonma01
504,Anfernee Simons,SG,22,POR,57,30,1681,353,797,.443,179,442,.405,174,355,.490,.555,103,116,.888,26,125,151,221,30,6,115,110,988,simonan01
505,Zavier Simpson,PG,24,OKC,4,4,174,19,52,.365,1,8,.125,18,44,.409,.375,5,5,1.000,2,19,21,30,5,4,10,15,44,simpsza01
506,Jericho Sims,PF,23,NYK,41,5,555,39,54,.722,0,0,,39,54,.722,.722,12,29,.414,61,108,169,21,11,22,20,66,90,simsje01
507,Deividas Sirvydis,SG,21,DET,3,0,27,1,10,.100,1,7,.143,0,3,.000,.150,0,0,,0,6,6,1,3,1,0,4,3,sirvyde01
